id,nombre,categoria,do_id,curacion_minima_dias,descripcion,revisado_por
fresco,Fresco,fresco,,0,Queso sin curar de pasta blanda y alto contenido en humedad,
semicurado,Semicurado,curado,,30,Queso con curación entre 30 y 60 días,
curado,Curado,curado,,60,Curado entre 60 y 120 días,
viejo,Viejo / Añejo,curado,,120,Mínimo 4 meses de curación,
idiazabal_semicurado,Idiazábal semicurado,do_curado,idiazabal,60,DO Idiazábal con curación media,
idiazabal_curado,Idiazábal curado,do_curado,idiazabal,120,DO Idiazábal curación larga,
idiazabal_ahumado,Idiazábal ahumado,do_curado,idiazabal,60,DO Idiazábal ahumado con haya/abedul/espino,
manchego_semicurado,Manchego semicurado,do_curado,manchego,30,DO Manchego curación media,
manchego_curado,Manchego curado,do_curado,manchego,60,DO Manchego curación prolongada,
cabrales,Cabrales,do_azul,cabrales,60,Queso azul de Asturias en cueva natural,
roncal,Roncal,do_curado,roncal,120,DO Roncal solo leche cruda de Latxa 4 meses mínimo,
mahon_Menorca,Mahón-Menorca,do_curado,mahon,60,DO Mahón curado entre 60 y 150 días,
torta_casar,Torta del Casar,do_blanda,torta_casar,60,DO Torta del Casar pasta blanda extremeña,
zamorano,Zamorano,do_curado,zamorano,100,DO Zamorano mínimo 100 días de curación,
tetilla,Tetilla,do_blanda,tetilla,30,DO Tetilla gallega forma cónica,
arzua_ulloa,Arzúa-Ulloa,do_blanda,arzua_ulloa,7,DO Arzúa-Ulloa gallega pasta blanda,
majorero,Majorero,do_curado,majorero,30,DO Majorero de Fuerteventura leche de cabra,
azul,Azul artesano,azul,,60,Queso azul sin DO,
pasta_blanda,Pasta blanda artesano,blanda,,7,Queso de pasta blanda genérico,
pasta_dura,Pasta dura artesano,dura,,90,Queso de pasta dura genérico,
fresco_cabra,Fresco de cabra,fresco,,0,Leche de cabra sin curar,
fresco_mixto,Fresco mezcla,fresco,,0,Mezcla de leches sin curar,
ahumado,Ahumado artesano,ahumado,,30,Queso ahumado con madera natural,
